sent,label
Reminder for daily reporting and attendance on mob app daily 9:00 am,1
How will you remind me let me know,1
Can u remind me till 11,0
Call at 9 am every day,1
Remind me to bid for flights on 13th december at 6 pm,1
Reminder 11am tomorrorw buy bell for papu,1
Remind me to book b tickets tonight by 10 pm,1
Can you remind me to masturbate,1
Reminder on invoice preparation,1
1 alarm at 1 30am please. Ignore the 12 20am one,0
One more reminder....2:00 pm ...today for meeting,1
call sagar @5:30 pm,0
I'm upset vth d reminder service,0
Remind me to see. Concert at 7pm,1
Remind me again after half an hour,0
Need a reminder for payment and phone at 2pm,1
Remind me tomorrow 11 am to pack gift for my college sir.,1
Remind me on 1st dec to take appointment of those 2 customer at sanaswadi,1
Remind me to play football at 10 5,1
Weke up alarm I need morning,0
Would you remind me to print the log sheet out today,1
Cud u pls set up a recuring reminder,0
Hey thanks for ur reminder,0
Please remind me every Tuesday n Thursday for a meeting at Chopras,1
Yes.. I'll surely use it.. When I need u to remind me something! Thank you,0
Make it a everyday schedule,0
What an early reminder?,0
Remind me to pray daily at noon,1
Okk,0
Remind me of talking with RICS TODAY AT 11 AM ,1
Please set this for complete month,0
1 jan 11.55,0
Remind me to take my friend's car for wash on 12th before she comes back,1
Remind me next month 16th for hepatitis B vaccination at 10am,1
hieee,0
Remind me to attend reception of Kishor Bhai's Son on 28th November,1
Manali sir reminder aata nhi hai,0
Cancl,0
Thank you Sachin for your reminder...😊,0
Reminder me to take print out,1
I have to add reminder,1
Remind me to renew my insurance of car on 20/11/2017,1
Can the reminder be for 365 days?,0
Call means what?,1
Hey good morning,0
Plz remind me to go to the gym at 9am,1
Instead of 5 remind me at 5:30,0
OK Tomo I want a reminder to b set,0
I want to be set,1
Plz remind ne,0
Hey thanks. Reminder for what exactly?,0
Hie can u remind me to finish Eis audit by 10 January,1
Remaind for dinner at 7:08 on today,1
It's ok... I'll let you know if I need any help,1
Remind me from daily from today,0
Please remind me to take a test at 4:30 pm tomorrow.,1
Then remind me for studying at 3:30 pm,1
Remind me to do my studies,1
What is the reminder?,1
Tell me something about haptik,1
Remind me at 830 today - to carry S C O solution home,1
Basket saaf krni h....remind me on 8 PM tomorrow,0
what is the exam timing of bharatiya vidya bhavans clg churchgate for fyba today,1
Reminder me at 9.00 am,0
I want to meet my boss at around 3pm. So remind me about it at around 12,1
Can you call me @ 8106683849,0
Thx for reminder,0
Please remind me after 2 .00 pm for today,0
Remind me to watch star gold @9 pm,1
Need reminder,0
I need to change that reminder,0
Close all the remainder,0
Remind me to collect laptop bill NOC from bajaj finance on 10 march,1
Do I have any reminders active for me??,1
10:15 AM,0
there are legal matters for which i need to be present in court for... need to make different reminders,1
Plz remind me go to home nd teck beg,1
Please remind me at 8 am,0
just set a call and notification reminder,0
HI !!! Could you please set an alarm of 6:00 pm,0
Can you please put my reminder in notifications of my mobile,1
Can you please remind me for a vaccination at 8:30 pm.,1
Can you remind me that I have to send my PPF form and details today. Secondly that I need to book my transit flight to Malaysia,1
Remind me at 9 ,0
Can u schedule one more for me?,0
Pls remind to mail to Shailendra by 11 pm today,1
Also remind me of wrapping the gift for Samiran at 08:45,1
Setup reminder,0
Hi please remind me to go to doctor on 10th December at 12.30,1
I want to delete all the reminders set till today,1
Please remind me after 5 days to close the Lynda.com site,1
Hi. Remind me everyday at 10pm to brush my teeth nd sleep,1
Can u remember me for tablets at 12 at night,1
Can you set me alarms,0
Remind me to talk to ZEROGRAVITY ppl,1
ReMind me,0
And set a snooze for 4:30 am also,0
Ya one more reminder,0
The same u shud remind me every day,0
Also remind me to get my bike insured at 11 am tommorow,1
Remind me to book bus tickets,1
You can remind me at 3.50am,0
Can u remind me to study at 10:00 pm,1
Change the reminder to 8:00 am,0
Remind me booking cover my love,1
Remind me i have to pay Lakshya 500 rupees,1
Reminder me at 7.25,0
